track_id,as_of_date,current_rank,rank_1d_ago,rank_3d_ago,rank_7d_ago,velocity_1d,velocity_3d,velocity_7d,acceleration,volatility_14d,days_tracked_so_far,n_sources_today,label
5,2026-08-22,1,2.0,2.0,1.0,1.0,0.3333333333333333,0.0,0.3333333333333333,1.3642254619787415,9,2,1.0
5,2026-08-23,1,1.0,3.0,1.0,0.0,0.6666666666666666,0.0,0.6666666666666666,1.3165611772087666,10,2,1.0
5,2026-08-24,1,1.0,2.0,1.0,0.0,0.3333333333333333,0.0,0.3333333333333333,1.2720777563426766,11,2,
5,2026-08-25,1,1.0,1.0,2.0,0.0,0.0,0.14285714285714285,-0.14285714285714285,1.2309149097933272,12,2,1.0
5,2026-08-26,1,1.0,1.0,2.0,0.0,0.0,0.14285714285714285,-0.14285714285714285,0.6513389472789295,13,2,1.0
5,2026-08-27,1,1.0,1.0,3.0,0.0,0.0,0.2857142857142857,-0.2857142857142857,0.630425171956115,14,2,
5,2026-08-28,1,1.0,1.0,2.0,0.0,0.0,0.14285714285714285,-0.14285714285714285,0.630425171956115,15,2,
5,2026-08-31,1,,1.0,1.0,,0.0,0.0,0.0,0.674199862463242,16,2,
5,2026-09-14,1,,,,,,,,,17,2,
5,2026-09-15,1,1.0,,,0.0,,,,,18,2,
6,2026-08-11,6,,,,,,,,,1,1,1.0
6,2026-08-13,6,6.0,,,0.0,,,,,2,2,1.0
6,2026-08-14,6,6.0,6.0,,0.0,0.0,,,0.0,3,2,1.0
6,2026-08-15,6,6.0,6.0,,0.0,0.0,,,0.0,4,2,1.0
6,2026-08-16,6,6.0,6.0,,0.0,0.0,,,0.0,5,2,1.0
6,2026-08-18,6,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,6,2,1.0
6,2026-08-20,4,6.0,6.0,6.0,2.0,0.6666666666666666,0.2857142857142857,0.38095238095238093,0.7559289460184545,7,2,1.0
6,2026-08-21,4,4.0,6.0,6.0,0.0,0.6666666666666666,0.2857142857142857,0.38095238095238093,0.9258200997725514,8,2,1.0
6,2026-08-22,4,4.0,6.0,6.0,0.0,0.6666666666666666,0.2857142857142857,0.38095238095238093,0.9999999999999999,9,2,1.0
6,2026-08-23,4,4.0,4.0,6.0,0.0,0.0,0.2857142857142857,-0.2857142857142857,1.0327955589886446,10,2,1.0
6,2026-08-24,4,4.0,4.0,6.0,0.0,0.0,0.2857142857142857,-0.2857142857142857,1.044465935734187,11,2,
6,2026-08-25,4,4.0,4.0,6.0,0.0,0.0,0.2857142857142857,-0.2857142857142857,1.044465935734187,12,2,1.0
6,2026-08-26,4,4.0,4.0,6.0,0.0,0.0,0.2857142857142857,-0.2857142857142857,1.0298573010888745,13,2,1.0
6,2026-08-27,4,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0127393670836669,14,2,
6,2026-08-28,4,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.960768922830523,15,2,
6,2026-08-31,3,,4.0,4.0,,0.3333333333333333,0.14285714285714285,0.19047619047619047,0.7006490497453708,16,2,
6,2026-09-14,1,,,,,,,,,17,2,
6,2026-09-15,1,1.0,,,0.0,,,,,18,2,
7,2026-08-11,7,,,,,,,,,1,1,0.0
7,2026-08-13,10,7.0,,,-3.0,,,,,2,2,0.0
7,2026-08-14,13,10.0,7.0,,-3.0,-2.0,,,3.0,3,2,
7,2026-08-15,16,13.0,7.0,,-3.0,-3.0,,,3.872983346207417,4,1,
7,2026-08-16,22,16.0,10.0,,-6.0,-4.0,,,5.770615218501403,5,1,
7,2026-08-18,36,22.0,16.0,7.0,-14.0,-6.666666666666667,-4.142857142857143,-2.5238095238095237,10.500793620801558,6,1,
8,2026-08-11,8,,,,,,,,,1,1,1.0
8,2026-08-13,8,8.0,,,0.0,,,,,2,2,0.0
8,2026-08-14,12,8.0,8.0,,-4.0,-1.3333333333333333,,,2.3094010767585034,3,2,0.0
8,2026-08-15,13,12.0,8.0,,-1.0,-1.6666666666666667,,,2.6299556396765835,4,1,0.0
8,2026-08-16,17,13.0,8.0,,-4.0,-3.0,,,3.7815340802378077,5,1,0.0
8,2026-08-18,30,17.0,13.0,8.0,-13.0,-5.666666666666667,-3.142857142857143,-2.523809523809524,8.238122763510306,6,1,0.0
8,2026-08-20,46,30.0,17.0,8.0,-16.0,-9.666666666666666,-5.428571428571429,-4.238095238095237,14.02888177331051,7,1,
8,2026-08-21,46,46.0,30.0,12.0,0.0,-5.333333333333333,-4.857142857142857,-0.4761904761904763,16.08903797177267,8,1,
8,2026-08-22,47,46.0,30.0,13.0,-1.0,-5.666666666666667,-4.857142857142857,-0.8095238095238102,17.12292160948138,9,1,
8,2026-08-23,49,47.0,46.0,17.0,-2.0,-1.0,-4.571428571428571,3.571428571428571,17.8088617142016,10,1,
8,2026-08-24,50,49.0,46.0,17.0,-1.0,-1.3333333333333333,-4.714285714285714,3.3809523809523814,18.194904381571934,11,1,
9,2026-08-11,9,,,,,,,,,1,1,0.0
9,2026-08-13,15,9.0,,,-6.0,,,,,2,2,0.0
9,2026-08-14,15,15.0,9.0,,0.0,-2.0,,,3.4641016151377544,3,1,
9,2026-08-15,22,15.0,9.0,,-7.0,-4.333333333333333,,,5.315072906367325,4,1,
9,2026-08-16,27,22.0,15.0,,-5.0,-4.0,,,6.985699678629192,5,1,
9,2026-08-18,48,27.0,22.0,9.0,-21.0,-8.666666666666666,-5.571428571428571,-3.095238095238095,13.894843168120563,6,1,
10,2026-08-11,10,,,,,,,,,1,1,0.0
10,2026-08-13,14,10.0,,,-4.0,,,,,2,2,0.0
10,2026-08-14,14,14.0,10.0,,0.0,-1.3333333333333333,,,2.3094010767585034,3,2,
10,2026-08-15,19,14.0,10.0,,-5.0,-3.0,,,3.685557397915997,4,1,
10,2026-08-16,23,19.0,14.0,,-4.0,-3.0,,,5.049752469181039,5,1,
10,2026-08-18,40,23.0,19.0,10.0,-17.0,-7.0,-4.285714285714286,-2.7142857142857144,10.788883167408942,6,1,
11,2026-08-11,11,,,,,,,,,1,1,1.0
11,2026-08-13,7,11.0,,,4.0,,,,,2,2,1.0
11,2026-08-14,7,7.0,11.0,,0.0,1.3333333333333333,,,2.3094010767585034,3,2,1.0
11,2026-08-15,7,7.0,11.0,,0.0,1.3333333333333333,,,2.0,4,2,1.0
11,2026-08-16,7,7.0,7.0,,0.0,0.0,,,1.7888543819998322,5,2,1.0
11,2026-08-18,7,7.0,7.0,11.0,0.0,0.0,0.5714285714285714,-0.5714285714285714,1.632993161855452,6,2,1.0
11,2026-08-20,10,7.0,7.0,7.0,-3.0,-1.0,-0.42857142857142855,-0.5714285714285714,1.7320508075688772,7,2,1.0
11,2026-08-21,13,10.0,7.0,7.0,-3.0,-2.0,-0.8571428571428571,-1.1428571428571428,2.38671920665766,8,2,1.0
11,2026-08-22,13,13.0,7.0,7.0,0.0,-2.0,-0.8571428571428571,-1.1428571428571428,2.6666666666666665,9,2,1.0
11,2026-08-23,7,13.0,10.0,7.0,6.0,1.0,0.0,1.0,2.601281735350223,10,2,1.0
11,2026-08-24,7,7.0,13.0,7.0,0.0,2.0,0.0,2.0,2.5334130768948473,11,2,
11,2026-08-25,7,7.0,13.0,7.0,0.0,2.0,0.0,2.0,2.4664414311581235,12,2,1.0
11,2026-08-26,6,7.0,7.0,7.0,1.0,0.3333333333333333,0.14285714285714285,0.19047619047619047,2.443296332763787,13,2,1.0
11,2026-08-27,6,6.0,7.0,10.0,0.0,0.3333333333333333,0.5714285714285714,-0.23809523809523808,2.41522945769824,14,2,
11,2026-08-28,6,6.0,7.0,13.0,0.0,0.3333333333333333,1.0,-0.6666666666666667,2.4651415936864716,15,2,
11,2026-08-31,7,,6.0,7.0,,-0.3333333333333333,0.0,-0.3333333333333333,2.6628760937957834,16,2,
11,2026-09-14,10,,,,,,,,,17,2,
11,2026-09-15,10,10.0,,,0.0,,,,,18,2,
12,2026-08-11,12,,,,,,,,,1,1,0.0
12,2026-08-13,16,12.0,,,-4.0,,,,,2,2,
12,2026-08-14,17,16.0,12.0,,-1.0,-1.6666666666666667,,,2.6457513110645907,3,1,
12,2026-08-15,24,17.0,12.0,,-7.0,-4.0,,,4.9916597106239795,4,1,
12,2026-08-16,29,24.0,16.0,,-5.0,-4.333333333333333,,,6.8044103344816,5,1,
13,2026-08-11,13,,,,,,,,,1,1,0.0
13,2026-08-13,17,13.0,,,-4.0,,,,,2,2,0.0
